,iter*10,AUC,AUC-PR,Size,Width,Depth,Time
0,10.0,0.5643574013692546,0.6297120567382175,0.0,0.0,0.0,4.124144554138184
1,20.0,0.527614733735581,0.6124692168795169,0.0,0.0,0.0,7.9878764152526855
2,30.0,0.45193694577282784,0.5488912856765166,0.0,0.0,0.0,11.88087511062622
3,40.0,0.498395578062107,0.5931341462376725,0.0,0.0,0.0,15.87357473373413
4,50.0,0.619792765116516,0.6601365147255933,0.0,0.0,0.0,19.700262784957886
5,10.0,0.505818990726949,0.5794863864298684,0.0,200.0,0.0,4.046940803527832
6,20.0,0.49010155070219596,0.5824694808439848,0.0,200.0,0.0,8.08351469039917
7,30.0,0.4773248872811275,0.5719378270330394,0.0,200.0,0.0,11.88612985610962
8,40.0,0.48850991404903804,0.5834611459492385,0.0,200.0,0.0,15.91684603691101
9,50.0,0.46282599444956085,0.556088510379892,0.0,200.0,0.0,19.71401333808899
10,10.0,0.47418409340076423,0.5628225389297318,0.0,400.0,0.0,4.145045280456543
11,20.0,0.5006430848168796,0.588979337105256,0.0,400.0,0.0,7.984623670578003
12,30.0,0.4455957114653762,0.5345318619527228,0.0,400.0,0.0,11.935206413269043
13,40.0,0.4572803141926588,0.5519316365779645,0.0,400.0,0.0,15.917688369750977
14,50.0,0.5172837263785433,0.6011200407417404,0.0,400.0,0.0,19.800488710403442
15,10.0,0.4703266218851007,0.5722358372507956,0.0,600.0,0.0,4.052655458450317
16,20.0,0.4466445140928249,0.5358450886686241,0.0,600.0,0.0,7.988154649734497
17,30.0,0.553120592851537,0.6202536202532105,0.0,600.0,0.0,11.921323299407959
18,40.0,0.49893386577061016,0.5885292697508478,0.0,600.0,0.0,15.886360168457031
19,50.0,0.44255992342095385,0.5454762897446466,0.0,600.0,0.0,19.75028133392334
20,10.0,0.5337554361615291,0.6115462468402835,0.0,800.0,0.0,4.090292453765869
21,20.0,0.5536336456860538,0.6207909620884761,0.0,800.0,0.0,8.020246744155884
22,30.0,0.465507835371622,0.5568567975043066,0.0,800.0,0.0,20.581618785858154
23,40.0,0.4847482403095225,0.5736586692514193,0.0,800.0,0.0,15.863823890686035
24,50.0,0.4663662298853851,0.5608664923274792,0.0,800.0,0.0,19.748933792114258
25,10.0,0.5,0.790594301802491,0.0,0.0,2.0,4.174747467041016
26,20.0,0.5,0.790594301802491,0.0,0.0,2.0,7.984352350234985
27,30.0,0.5,0.790594301802491,0.0,0.0,2.0,11.940739631652832
28,40.0,0.5,0.790594301802491,0.0,0.0,2.0,15.952034711837769
29,50.0,0.5,0.790594301802491,0.0,0.0,2.0,19.813807249069214
30,10.0,0.4653240281469294,0.5533608324430733,400.0,200.0,2.0,4.076132297515869
31,20.0,0.47142910837645235,0.5631597735910965,400.0,200.0,2.0,7.9357569217681885
32,30.0,0.5475684478114041,0.6229150859608175,400.0,200.0,2.0,11.92218804359436
33,40.0,0.5194429875436786,0.6182269188987842,400.0,200.0,2.0,15.938929796218872
34,50.0,0.5284957487384441,0.6079113418680349,400.0,200.0,2.0,19.880624771118164
35,10.0,0.5127386591333367,0.6038295739847233,800.0,400.0,2.0,4.065443277359009
36,20.0,0.5525251936262454,0.6293718035328864,800.0,400.0,2.0,7.982661485671997
37,30.0,0.5569874460460046,0.6218045503225644,800.0,400.0,2.0,11.923204183578491
38,40.0,0.4818985728068096,0.5817979047746394,800.0,400.0,2.0,15.842572450637817
39,50.0,0.47759439785143426,0.5603028491888975,800.0,400.0,2.0,19.816062688827515
40,10.0,0.49292651813518906,0.5944757626735699,1200.0,600.0,2.0,4.0614001750946045
41,20.0,0.45995976725214427,0.5488612842145432,1200.0,600.0,2.0,7.975761651992798
42,30.0,0.5392602192820807,0.635631384423074,1200.0,600.0,2.0,11.936309814453125
43,40.0,0.4373507677869841,0.5319412443109225,1200.0,600.0,2.0,15.83713698387146
44,50.0,0.5263358373436607,0.6182714060164837,1200.0,600.0,2.0,19.758662700653076
45,10.0,0.5364240897337768,0.6187320231254803,1600.0,800.0,2.0,4.033729553222656
46,20.0,0.4939428338081323,0.5974309790883904,1600.0,800.0,2.0,7.971630334854126
47,30.0,0.5429065643090545,0.6219208837988434,1600.0,800.0,2.0,11.526969194412231
48,40.0,0.5034224746143108,0.58613801799872,1600.0,800.0,2.0,16.01946759223938
49,50.0,0.4680958470012255,0.5582764793161719,1600.0,800.0,2.0,19.97465491294861
50,10.0,0.5,0.790594301802491,0.0,0.0,4.0,4.079016447067261
51,20.0,0.5,0.790594301802491,0.0,0.0,4.0,9.181504487991333
52,30.0,0.5,0.790594301802491,0.0,0.0,4.0,11.978438138961792
53,40.0,0.5,0.790594301802491,0.0,0.0,4.0,16.10902500152588
54,50.0,0.5,0.790594301802491,0.0,0.0,4.0,20.593241453170776
55,10.0,0.4340793893252451,0.5355730174584621,800.0,200.0,4.0,4.117151260375977
56,20.0,0.49054327257482655,0.5804593222963804,800.0,200.0,4.0,8.042852401733398
57,30.0,0.5162478148424292,0.6025288900889879,800.0,200.0,4.0,12.001031398773193
58,40.0,0.5386506939138744,0.6216072265852647,800.0,200.0,4.0,15.919275760650635
59,50.0,0.5478342234087477,0.6239382745110138,800.0,200.0,4.0,19.749086618423462
60,10.0,0.5122457033005213,0.6049835983767539,1600.0,400.0,4.0,4.075678110122681
61,20.0,0.38603242347246963,0.49886639735069244,1600.0,400.0,4.0,7.961523056030273
62,30.0,0.4960066251975783,0.5777426572668479,1600.0,400.0,4.0,11.882214069366455
63,40.0,0.521600682290202,0.5948092782682382,1600.0,400.0,4.0,15.961100101470947
64,50.0,0.43551374735384546,0.5372457712751073,1600.0,400.0,4.0,19.85371971130371
65,10.0,0.45500595131823157,0.5696254121543779,2400.0,600.0,4.0,4.064110994338989
66,20.0,0.4671187783626192,0.5710260276848959,2400.0,600.0,4.0,7.995353698730469
67,30.0,0.46987579343082475,0.5651660743737615,2400.0,600.0,4.0,11.893449783325195
68,40.0,0.5535155963010872,0.6138789703390909,2400.0,600.0,4.0,15.762538433074951
69,50.0,0.47476086056481875,0.5583033156973755,2400.0,600.0,4.0,19.904929161071777
70,10.0,0.5560386999103346,0.6398101398000166,3200.0,800.0,4.0,4.070225238800049
71,20.0,0.5074076893232137,0.5969194960435105,3200.0,800.0,4.0,8.023658037185669
72,30.0,0.5942899426499663,0.6446722227150555,3200.0,800.0,4.0,11.959905862808228
73,40.0,0.486217516439722,0.5677466976720723,3200.0,800.0,4.0,15.781507968902588
74,50.0,0.5652771401447261,0.6387946059897638,3200.0,800.0,4.0,19.747249841690063
75,10.0,0.5,0.790594301802491,0.0,0.0,6.0,4.069441795349121
76,20.0,0.5,0.790594301802491,0.0,0.0,6.0,8.025540351867676
77,30.0,0.5,0.790594301802491,0.0,0.0,6.0,11.931147813796997
78,40.0,0.5,0.790594301802491,0.0,0.0,6.0,15.84111738204956
79,50.0,0.5,0.790594301802491,0.0,0.0,6.0,19.78223752975464
80,10.0,0.4613614329652483,0.571195796859181,1200.0,200.0,6.0,4.038410186767578
81,20.0,0.5471788111611453,0.6132998096091264,1200.0,200.0,6.0,8.007668018341064
82,30.0,0.524400920316191,0.6240073776166224,1200.0,200.0,6.0,11.916665077209473
83,40.0,0.4692613273753599,0.5553955673545967,1200.0,200.0,6.0,15.820089101791382
84,50.0,0.502330837627862,0.5812311656603529,1200.0,200.0,6.0,19.832136631011963
85,10.0,0.5411055642899063,0.6123450950178442,2400.0,400.0,6.0,4.0574727058410645
86,20.0,0.4758599328695793,0.5699026280414241,2400.0,400.0,6.0,8.032253503799438
87,30.0,0.5176883803518479,0.6071844592346072,2400.0,400.0,6.0,11.885331392288208
88,40.0,0.5191475836937729,0.6023710482827795,2400.0,400.0,6.0,15.861877918243408
89,50.0,0.5391827087338432,0.6208525672588204,2400.0,400.0,6.0,19.753997802734375
90,10.0,0.5662195109518359,0.6224613387817001,3600.0,600.0,6.0,4.07891321182251
91,20.0,0.5347834506778059,0.6161219874569033,3600.0,600.0,6.0,7.985599994659424
92,30.0,0.4933845972271671,0.5814369311888096,3600.0,600.0,6.0,11.922729730606079
93,40.0,0.5078824247786521,0.6148881734829542,3600.0,600.0,6.0,15.490650177001953
94,50.0,0.4664397779764704,0.5545605573357757,3600.0,600.0,6.0,20.037506103515625
95,10.0,0.4834168258500505,0.5691464103360739,4800.0,800.0,6.0,4.165717601776123
96,20.0,0.5032525020834451,0.594669637984492,4800.0,800.0,6.0,7.999466180801392
97,30.0,0.4347600715553873,0.5337123475439783,4800.0,800.0,6.0,12.133442401885986
98,40.0,0.48759162241928455,0.5735964222489739,4800.0,800.0,6.0,15.939258575439453
99,50.0,0.48298617038585184,0.579526497368441,4800.0,800.0,6.0,19.772995233535767
100,10.0,0.5,0.790594301802491,0.0,0.0,8.0,4.061072587966919
101,20.0,0.5,0.790594301802491,0.0,0.0,8.0,7.98029637336731
102,30.0,0.5,0.790594301802491,0.0,0.0,8.0,12.087083101272583
103,40.0,0.5,0.790594301802491,0.0,0.0,8.0,16.38052010536194
104,50.0,0.5,0.790594301802491,0.0,0.0,8.0,19.793969869613647
105,10.0,0.5280326601849178,0.6045922539713906,1600.0,200.0,8.0,4.29565954208374
106,20.0,0.4970047243406571,0.5847421598163759,1600.0,200.0,8.0,8.017594337463379
107,30.0,0.44839198799609126,0.5382787093594246,1600.0,200.0,8.0,11.826980590820312
108,40.0,0.5537628595910267,0.6188773712362848,1600.0,200.0,8.0,16.04439616203308
109,50.0,0.5161838658146161,0.6071001060992112,1600.0,200.0,8.0,19.926405668258667
110,10.0,0.4582722135499446,0.5461223622935424,3200.0,400.0,8.0,4.08251953125
111,20.0,0.5444936373311993,0.6240220568566913,3200.0,400.0,8.0,8.141045808792114
112,30.0,0.6114782112762973,0.6656410647151507,3200.0,400.0,8.0,12.00445556640625
113,40.0,0.5160627475573241,0.5852069139624142,3200.0,400.0,8.0,15.93866229057312
114,50.0,0.5901605255693897,0.6332196229395542,3200.0,400.0,8.0,20.033376455307007
115,10.0,0.5471947576585108,0.6145920035207603,4800.0,600.0,8.0,4.069833278656006
116,20.0,0.39928355638966045,0.5022464972058185,4800.0,600.0,8.0,8.093573570251465
117,30.0,0.44606198768318267,0.537542848105889,4800.0,600.0,8.0,12.033060789108276
118,40.0,0.48699151143374053,0.5752481563092353,4800.0,600.0,8.0,15.975601434707642
119,50.0,0.5142805734178657,0.596876339639097,4800.0,600.0,8.0,19.883418798446655
120,10.0,0.506209902346732,0.5989715022157974,6400.0,800.0,8.0,4.071136713027954
121,20.0,0.48152256789408227,0.5920670344784182,6400.0,800.0,8.0,8.073699712753296
122,30.0,0.4766255359574384,0.5670568945712228,6400.0,800.0,8.0,11.975795030593872
123,40.0,0.5253304096507477,0.6214513233954158,6400.0,800.0,8.0,16.18607807159424
124,50.0,0.40740944888696373,0.5125590799837123,6400.0,800.0,8.0,20.535772800445557
